Ride_Date,Email_Timestamp,From,Subject,Payment,Details
"September 18, 2024",18/09/2024 8:22,Yango <no-reply@yango.com>,"Yango ride report for September 18, 2024",K60 ,17 min
"September 19, 2024",19/09/2024 20:36,Yango <no-reply@yango.com>,"Yango ride report for September 19, 2024",K44 ,13 min
"September 25, 2024",25/09/2024 9:44,Yango <no-reply@yango.com>,"Yango ride report for September 25, 2024",K29 ,5 min
"September 26, 2024",26/09/2024 9:09,Yango <no-reply@yango.com>,"Yango ride report for September 26, 2024",K99 ,32 min
"September 30, 2024",30/09/2024 8:36,Yango <no-reply@yango.com>,"Yango ride report for September 30, 2024",K53 ,15 min
"October 1, 2024",01/10/2024 8:48,Yango <no-reply@yango.com>,"Yango ride report for October 1, 2024",K54 ,24 min
"October 3, 2024",03/10/2024 8:29,Yango <no-reply@yango.com>,"Yango ride report for October 3, 2024",K90 ,37 min
"October 5, 2024",05/10/2024 11:02,Yango <no-reply@yango.com>,"Yango ride report for October 5, 2024",K39 ,11 min
"October 8, 2024",08/10/2024 8:09,Yango <no-reply@yango.com>,"Yango ride report for October 8, 2024",K54 ,19 min
"October 9, 2024",09/10/2024 8:06,Yango <no-reply@yango.com>,"Yango ride report for October 9, 2024",K95 ,37 min
"September 17, 2024",17/09/2024 8:25,Yango <no-reply@yango.com>,"Yango ride report for September 17, 2024",K56 ,26 min
"October 14, 2024",14/10/2024 20:02,Yango <no-reply@yango.com>,"Yango ride report for October 14, 2024",K80 ,30 min
"October 17, 2024",17/10/2024 11:11,Yango <no-reply@yango.com>,"Yango ride report for October 17, 2024",K24 ,5 min
"October 19, 2024",19/10/2024 14:56,Yango <no-reply@yango.com>,"Yango ride report for October 19, 2024",K89 ,36 min
"October 22, 2024",22/10/2024 18:59,Yango <no-reply@yango.com>,"Yango ride report for October 22, 2024",K90 ,35 min
"October 29, 2024",29/10/2024 8:42,Yango <no-reply@yango.com>,"Yango ride report for October 29, 2024",K59 ,16 min
"October 29, 2024",29/10/2024 17:49,Yango <no-reply@yango.com>,"Yango ride report for October 29, 2024",K67 ,23 min
"October 29, 2024",29/10/2024 19:20,Yango <no-reply@yango.com>,"Yango ride report for October 29, 2024",K157 ,33 min
"October 30, 2024",30/10/2024 13:28,Yango <no-reply@yango.com>,"Yango ride report for October 30, 2024",K52 ,26 min
"October 30, 2024",30/10/2024 21:47,Yango <no-reply@yango.com>,"Yango ride report for October 30, 2024",K119 ,38 min
"November 1, 2024",01/11/2024 15:48,Yango <no-reply@yango.com>,"Yango ride report for November 1, 2024",K26 ,6 min
